Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Khâu Diệu Tân,Nhật Ký Cá Sấu,"viết về đề tài đồng tính nói chung và đồng tính nữ nói riêng đậm chất hiện sinh. Tuy không phải tự truyện, nhưng nó cũng gần như một cuốn tiểu thuyết tự sự của tác giả. Những khát khao kìm nén, những đớn đau khi cố gắng gọt giũa mình cho vừa với “lốt người”, những cảm thức sa đọa và băng hoại của “Tôi”, xét trên nột khía cạnh nào đó, cũng chính là nỗi niềm của Khâu Diệu Tân trước xã hội còn nặng nề định kiến và ác ý với người đồng tính ở thập kỷ 80-90 của thế kỷ trước.",Nhà Xuất Bản Phụ Nữ,109000,304,92500,01/12/2022,NXB Phụ Nữ,Còn hàng,400
Kate Scott,Danh Nhân Thương Đại - Cuộc Đời Phi Thường Của Stephen Hawking,"là một người quan sát sao, nhà vật lý lý thuyết, chuyên gia nghiên cứu thời gian và không gian kiêm tác giả bestseller đã giúp cả thế giới hiểu hơn về vũ trụ.",Nhã Nam,68000,110,57500,30/01/2023,NXB Phụ Nữ,Còn hàng,200
Albert Rutherford,Phản Biện Hay Ngụy Biện,Chúng ta chậm trễ hơn mọi người trong việc đưa ra ý tưởng và bị giành lấy những cơ hội thăng tiến?,1980 Books,110000,200,93500,08/02/2023,NXB Đại Học Kinh Tế Quốc Dân,Còn hàng,500
Jayneen Sanders,Công Dân Nhí Văn Minh - Tớ Giữ Niềm Hy Vọng,"Được viết bởi các chuyên gia uy tín, sử dụng ngôn từ thân thiện với trẻ nhỏ và minh họa dễ mến, cuốn sách thiết thực này giúp trẻ xây dựng khả năng phục hồi và hỗ trợ những người đã hoặc đang trải qua bạo lực gia đình. Cuối sách có phần câu hỏi thảo luận và hướng dẫn phụ huynh đọc sách cùng con một cách hiệu quả.",Nhã Nam,55000,40,46500,30/01/2023,Nxb Thông Tấn,Còn hàng,100
Sarah Ivens,Liệu Pháp Rừng - Kết Nối Thiên Nhiên Và Trở Nên Hạnh Phúc Hơn,"Vào đầu thập niên 1980 ở Nhật Bản, sức khỏe tâm thần của người dân trở nên kém đi và tỷ lệ tự tử tăng vọt. Lo lắng cho phúc lợi của người dân, chính phủ đã rót các nguồn lực để tìm ra những cách giải quyết tình trạng này. Sự ra đời của khái niệm Shinrin-Yoku (tắm rừng) là kết quả của nỗ lực đó. Các nhà khoa học Nhật Bản đã phát hiện ra tắm rừng có tác động tốt tới hệ miễn dịch của con người. Cụ thể, trong cơ thể một người áp dụng phương pháp tắm rừng, số lượng tế bào sát thủ tự nhiên tấn công tế bào ung thư tăng lên và hoạt động mạnh hơn, huyết áp giảm. Họ ít căng thẳng hơn, ngủ ngon hơn và tràn đầy sức sống. Tắm rừng là một trào lưu đang dần phổ biến.",Thái Hà,119000,296,101000,01/01/2023,NXB Thế Giới,Còn hàng,300
Jayneen Sanders,Công Dân Nhí Văn Minh - Công Chúa Không Hoàn Hảo Và Chú Rồng Khủng Khiếp,"Công chúa Cánh Hoa không phải là một nàng công chúa “hoàn hảo”. Ngược lại là đằng khác. Nàng có tất cả những điều mà một nàng công chúa “hoàn hảo” không nên có. Váy công chúa của nàng rách bươm và tơi tả, nàng đội cái mũ len cũ kỹ thay vì vương miện vàng ròng và nàng vô cùng ồn ào. Ngày nọ, khi đang đi dạo trong rừng, nàng có một cuộc gặp gỡ đầy bất ngờ với một chú rồng cũng không kém phần đặc biệt…",Nhã Nam,55000,40,46500,30/01/2023,Nxb Thông Tấn,Còn hàng,100
Jayneen Sanders,Công Dân Nhí Văn Minh - Tớ Làm Nên Khác Biệt,Cuốn sách này cung cấp 40 ý tưởng tuyệt vời giúp trẻ em và những người yêu mến trẻ cùng làm nên sự khác biệt. Làm việc tốt mang tới cho chúng ta những lợi ích cả về thể chất và tinh thần. Khuyến khích trẻ trao đi lòng tốt và nỗ lực tạo ra những thay đổi tích cực ngay từ ngày nhỏ sẽ giúp con trở thành công dân nhí văn minh và hạnh phúc trong tương lai.,Nhã Nam,55000,40,46500,30/01/2023,Nxb Thông Tấn,Còn hàng,100
Yayoi Watanabe,Hiểu Tâm Tư Trẻ Qua Cử Chỉ,"gồm hai phần, hiểu tâm tư trẻ bằng từ khóa và hiểu tâm tư trẻ qua cử chỉ. Căn cứ vào những nghiên cứu tâm lý, tác giả đã rút ra những đặc điểm tâm sinh lý của trẻ ở các độ tuổi khác nhau trong khoảng từ 0-13 tuổi. Từ đó, đáp ứng được nhu cầu và có cơ sở để định hướng giáo dục trẻ. Tâm lý học phát triển là ngành khoa học lấy dòng đời con người – từ khi được thụ thai đến lúc qua đời – làm đối tượng để nghiên cứu về sự phát triển tâm lý. Trong cuốn sách này, tác giả đặt khoảng thời gian 13 năm – từ sau sinh đến khoảng thời kỳ dậy thì – làm đối tượng để giải thích bằng “từ khóa”. Mặc dù việc ghi nhớ quá nhiều thứ có vẻ tốn công sức, nhưng trước hết, nếu để tâm vào 17 từ khóa ở Phần 1, bạn có thể tích lũy nhiều trải nghiệm và thốt lên những câu như: “À, ra là vậy!”, “Thảo nào!”, “Con người thật tuyệt!”.",Thái Hà,69000,152,58500,01/01/2023,NXB Công Thương,Còn hàng,300
Lê Mai Anh,60 Phút Thay Đổi Chính Mình,"""Hành trình nào rồi cũng sẽ có đích đến, dù viên mãn hay không nhưng ít nhất, chúng ta đã luôn cố gắng từng phút giây, vì thời gian không bao giờ có thể quay trở lại. Thế nên chọn mà đi, là hành trình chọn cho mình mà không phải chọn vì người khá"". - Lê Mai Anh",NXB Tổng Hợp TPHCM,99000,152,84000,01/12/2022,NXB Tổng Hợp TPHCM,Còn hàng,120
Arthur Berriedale Keith,Triết Học Phật Giáo Ấn Độ Và Tích Lan,"Giáo sư Arthur Berriedale Keith đã nghiên cứu Phật giáo thông qua công việc so sánh chuyên sâu lịch sử tư tưởng Ấn Độ giáo, đồng thời phát hiện sự ảnh hưởng qua lại giữa những trường phái tư tưởng Ấn Độ cổ đại. Ông để lại nhiều tác phẩm giá trị về Logic học Ấn Độ và Số luận (Samkhya), nhìn nhận Phật giáo qua lăng kính triết học và phê phán hiện đại.",Tao Đàn,260000,572,221000,15/08/2022,NXB Hồng Đức,Còn hàng,600
Cổ Nguyệt Quang,Con Voi Thành Phật Thệ,Cuốn sách,Tri Thức Trẻ,168000,392,142500,01/02/2023,NXB Dân Trí,Còn hàng,500
Frederic Laloux,Tái Tạo Tổ Chức - Phiên Bản Đầy Đủ,"Cách chúng ta quản lý các tổ chức dường như ngày càng lạc hậu. Bất chấp tuyên bố sứ mệnh cao cả, nhiều tổ chức đã trở nên cằn cỗi với trò chơi quyền lực ở cấp trên và sự bất lực ở cấp dưới, đấu đá nội bộ, họp hành liên miên, cắt giảm nhân sự liên tục,...",Saigon Books,350000,452,297500,09/02/2023,NXB Thế Giới,Còn hàng,500
Beverly Kaye,"Có Không Giữ, Mất Đừng Tìm: Bật Mí 26 Chiến Lược Gắn Bó Để Giữ Chân Nhân Tài",Dựa trên nền tàng vững chắc từ một nghiên cứu được thực hiện trên diện rộng.,Bizbooks,213000,404,181000,03/11/2022,NXB Hồng Đức,Còn hàng,500
Nguyễn Đình Lạp,Việt Nam Danh Tác - Ngoại Ô (bìa cứng),"xuất hiện khi trên văn đàn đã có những cây đa, cây đề của lĩnh vực tiểu thuyết như: Nguyễn Công Hoan, Vũ Trọng Phụng, Ngô Tất Tố, Nam Cao,... Trong tâm thế của một người đến muộn, Nguyễn Đình Lạp đã xác định cho mình một lối đi riêng: đi vào khai thác một đề tài tương đối mới mẻ - cuộc sống dân nghèo thành thị trước cách mạng.",Nhã Nam,210000,234,178500,31/01/2022,NXB Hội Nhà Văn,Hết hàng,600
Ngọc Ánh,Nghề Copywriter - Từ Thích Đến Dấn Thân,"Cuốn sách là toàn bộ những kinh nghiệm xương máu, được tác giả Ngọc Ánh đúc kết sau quãng thời gian “nằm gai nếm mật” tại Agency. Hiện nay, cô đang là một Freelancer toàn thời gian với các vai trò: tác giả sách, người cố vấn nội dung cho các thương hiệu, người đào tạo viết thương mại cho các cá nhân và tổ chức. Suốt hành trình làm nghề, tác giả Ngọc Ánh được gặp gỡ và tiếp xúc với nhiều bạn trẻ ôm mộng trở thành Copywriter chuyên nghiệp nhưng lại thiếu hụt kiến thức, kỹ năng và tầm nhìn. Vì vậy, cô viết cuốn sách này để khuyến khích các bạn Newbie hãy chuẩn bị một hành trang thật tốt để có thể theo nghề bền vững.",Bizbooks,151000,276,128000,01/12/2022,NXB Hồng Đức,Còn hàng,300
Quách Thành,Dạo Bước Nhân Gian - Đi Qua Những Ngày Tháng Bất Định,Bài viết số 2: Đi qua nơi người ta gọi là địa ngục,Bizbooks,217000,420,184000,01/12/2022,NXB Hồng Đức,Còn hàng,500
Nguyễn Hiến Lê,Hương Sắc Trong Vườn Văn,"Cuốn sách “Hương sắc trong vườn văn” là tập tiểu luận hướng dẫn người viết văn rèn luyện tay nghề do dịch giả Nguyễn Hiến Lê thực hiện. Trong đó, tác giả đã chia thành 14 chương và chương nào cũng đắc dụng, đó là những gợi ý cho người viết cần phải có những ý niệm ngay từ khi ban đầu khi thực hiện tác phẩm.",Bizbooks,228000,440,193500,01/12/2022,NXB Hồng Đức,Còn hàng,500
Huỳnh Trọng Khang,Bể Trăng Côi,"Tác phẩm với các nhân vật xưa - nay, xấu - đẹp đang trầm luân giữa các biến cố của đời sống, nhất là trong đại dịch. Người chọn hướng nội và người chọn hướng ngoại, nhưng tất thảy đều mãi loay hoay với thân và tâm, với bản chất của hiện hữu.",NXB Trẻ,110000,252,93500,15/02/2023,NXB Trẻ,Còn hàng,300
